2016 Rank,Company,Category Detail,Franchise 500 Rank,Initial Investment,High,Change In Units 1 Yr,Change In Units 3 Yr,Founded,Franchising Since,Corporate Address,Veteran Incentives,Highest Rank,Lowest Rank,Where Seeking Franchisees,Operations
1,Jimmy John's Sandwiches,Sandwiches,#1 Franchise 500,"$325,500 ","$555,000 ",+9.0% +205 UNITS,+22.5% +514 UNITS,1983,1993,"2212 Fox Dr. Champaign, IL 61820",,1,85,throughout the US,Training Onsite: 20 days
2,Hampton by Hilton,Midprice hotels,#2 Franchise 500,"$4,213,600 ","$14,896,500 ",+4.4% +90 UNITS,+5.7% +117 UNITS,1983,1984,"7930 Jones Branch Dr., #1100 McLean, VA 22102",,1,48,worldwide,Training Onsite: varies
3,Supercuts,Hair salons,#3 Franchise 500,"$144,400 ","$293,800 ",+5.3% +136 UNITS,+8.8% +225 UNITS,1975,1979,"7201 Metro Blvd. Minneapolis, MN 55439","$2,500 rebate on first-store franchise fee",3,40,,Training at headquarters: 5 days
4,Servpro,Insurance/disaster restoration and cleaning,#4 Franchise 500,"$156,075 ","$209,950 ",+1.8% +30 UNITS,+4.7% +80 UNITS,1967,1969,"801 Industrial Blvd. Gallatin, TN 37066",,4,43,,Training Onsite: 5 days
5,Subway,"Subs, salads",#5 Franchise 500,"$116,600 ","$263,150 ",+1.7% +768 UNITS,+9.4% +4149 UNITS,1965,1974,"325 Bic Dr. Milford, CT 06461","Franchise fee waived if opening on a military/government location, 50% off franchise fee if opening on non-government location but receiving government financing",1,9,worldwide,Training Onsite: 10 days
6,McDonald's,"Burgers, chicken, salads, beverages",#6 Franchise 500,"$1,003,000 ","$2,228,000 ",+2.3% +842 UNITS,+4.5% +1632 UNITS,1955,1955,"2915 Jorie Blvd. Oak Brook, IL 60523",,2,16,worldwide,Training Onsite: 6-24 months
7,7-Eleven Inc.,Convenience stores,#7 Franchise 500,"$37,200 ","$1,635,200 ",+5.2% +2918 UNITS,+9.7% +5495 UNITS,1927,1964,"P.O. Box 711 Dallas, TX 75221-0711","10-20% off franchise fee, special financing",1,30,internationally,Training Onsite: 28-42 days
8,Dunkin' Donuts,"Coffee, doughnuts, baked goods",#8 Franchise 500,"$228,621 ","$1,692,314 ",+5.0% +575 UNITS,+6.4% +745 UNITS,1950,1955,"130 Royall St. Canton, MA 02021",20% off franchise fee for first five traditional restaurants,2,36,,Training at headquarters: 30 days
9,Denny's Inc.,Family restaurants,#9 Franchise 500,"$915,569 ","$2,421,185 ",,+0.8% +13 UNITS,1953,1963,"203 E. Main St. Spartanburg, SC 29319",,7,61,,Training Onsite: 21 days
10,Anytime Fitness,Fitness centers,#10 Franchise 500,"$80,020 ","$490,100 ",+10.1% +307 UNITS,+21.0% +639 UNITS,2001,2002,"111 Weir Dr. Woodbury, MN 55125",20% off franchise fee,1,353,worldwide,Training Onsite: 1 day
11,Pizza Hut LLC,"Pizza, pasta, wings",#11 Franchise 500,"$297,000 ","$2,144,000 ",+4.1% +638 UNITS,+8.0% +1248 UNITS,1958,1959,"7100 Corporate Dr. Plano, TX 75024",,4,15,worldwide,Training Onsite: varies
12,Hardee's,"Burgers, chicken, biscuits",#12 Franchise 500,"$1,426,500 ","$1,949,000 ",+4.4% +91 UNITS,+6.0% +126 UNITS,1961,1962,"100 N. Broadway, #1200 St. Louis, MO 63102",50% off franchise fee,11,62,worldwide,Training Onsite: 10 weeks
13,Jack in the Box,Burgers,#13 Franchise 500,"$1,328,650 ","$2,427,250 ",,,1951,1982,"9330 Balboa Ave. San Diego, CA 92123",,,,in the following regions/states;See List,Training at headquarters: 50 days
14,Ace Hardware Corp.,Hardware and home-improvement stores,#14 Franchise 500,"$272,500 ","$1,561,500 ",,+1.8% +87 UNITS,1924,1976,"2200 Kensington Ct. Oak Brook, IL 60523",Franchise fee waived,6,37,worldwide,Training Onsite: 2 weeks+
15,GNC Franchising,Vitamins and nutrition products,#15 Franchise 500,"$192,117 ","$354,217 ",+1.9% +127 UNITS,+8.7% +588 UNITS,1935,1988,"300 6th Ave., 4th Fl. Pittsburgh, PA 15222",50% off first-store franchise fee,15,68,worldwide,Training Onsite: 5 days
16,Sport Clips,Men's sports-themed hair salons,#16 Franchise 500,"$183,300 ","$351,500 ",+7.5% +105 UNITS,+14.1% +198 UNITS,1993,1995,"110 Briarwood Dr. Georgetown, TX 78628",20% off franchise fee,16,160,,Training Onsite: 8 days
17,The UPS Store,"Postal, business, printing, and communications services",#17 Franchise 500,"$159,224 ","$434,521 ",+1.4% +69 UNITS,+1.8% +86 UNITS,1980,1980,"6060 Cornerstone Ct. W. San Diego, CA 92121","$10,000 off franchise fee & 50% off initial application fee",4,46,throughout the U.S.,Training at headquarters: 9 days
18,Taco Bell,Mexican food,#18 Franchise 500,"$1,177,300 ","$2,620,600 ",+4.2% +268 UNITS,+5.4% +341 UNITS,1962,1964,"1 Glen Bell Wy. Irvine, CA 92618",,,,worldwide,Training at headquarters: varies
19,Papa Murphy's,Take-and-bake pizza,#19 Franchise 500,"$279,455 ","$492,861 ",+3.8% +56 UNITS,+8.0% +119 UNITS,1981,1982,"8000 N.E. Parkway Dr., #350 Vancouver, WA 98662",Discounted royalty fee,19,59,internationally,Training at headquarters: 28 days
20,Aaron's,"Furniture, electronics, computer, and appliance leasing and sales",#20 Franchise 500,"$283,270 ","$852,820 ",,,1955,1992,"400 Galleria Pkwy. S.E., #300 Atlanta, GA 30339",,15,58,,Training Onsite: ongoing
21,RE/MAX LLC,Real estate,#21 Franchise 500,"$37,500 ","$224,000 ",+3.1% +214 UNITS,+8.4% +588 UNITS,1973,1975,"5075 S. Syracuse St. Denver, CO 80237-2712",,8,359,worldwide,Training at headquarters: 4.5 days annually
22,Snap-on Tools,Professional tools and equipment,#22 Franchise 500,"$166,847 ","$319,547 ",+0.3% +13 UNITS,+0.5% +24 UNITS,1920,1991,"2801 80th St. Kenosha, WI 53143","$20,000 off startup inventory",22,61,,Training Onsite: 135 hours
23,Jiffy Lube Int'l. Inc.,"Oil changes, light repairs",#23 Franchise 500,"$219,000 ","$400,000 ",,,1979,1979,"P.O. Box 4427 Houston, TX 77210-4427",Franchise fee waived,3,37,,Training Onsite: 5 days
24,Jan-Pro Franchising Int'l. Inc.,Commercial cleaning,#24 Franchise 500,"$3,985 ","$51,605 ",+3.1% +246 UNITS,+8.5% +666 UNITS,1991,1992,"2520 Northwinds Pkwy., #375 Alpharetta, GA 30009",Up to 20% off franchise fee,11,26,worldwide,Training Onsite: varies
25,Cruise Planners,Travel agencies,#25 Franchise 500,"$2,095 ","$22,867 ",+15.2% +314 UNITS,+27.6% +571 UNITS,1994,1999,"3300 University Dr., #1 Coral Springs, FL 33065","$1,000 off franchise fee, $500 marketing credit, 3 months of free technology access, $60 creative design credit, first year’s errors and omissions insurance and software license, marketing/promotional items (magazines, branded clothing, car magnets, laptop bag, business cards)",19,114,throughout the US,Training at headquarters: 6 days
26,Vanguard Cleaning Systems,Commercial cleaning,#26 Franchise 500,"$10,930 ","$39,400 ",+5.2% +163 UNITS,+13.3% +413 UNITS,1984,1984,"655 Mariners Island Blvd., #303 San Mateo, CA 94404",10% off franchise fee,7,119,worldwide,Additional Training: At regional offices
27,Sonic Drive-In Restaurants,"Burgers, hot dogs, chicken sandwiches, breakfast, ice cream, beverages",#27 Franchise 500,"$1,023,000 ","$1,765,000 ",,,1953,1959,"300 Johnny Bench Dr. Oklahoma City, OK 73104",,4,80,throughout the US,Additional Training: At existing franchise location
28,Great Clips,Hair salons,#28 Franchise 500,"$132,250 ","$253,100 ",+4.7% +174 UNITS,+5.3% +195 UNITS,1982,1983,"4400 W. 78th St., #700 Minneapolis, MN 55435","$5,000 rebate on first-store franchise fee",19,100,,Training Onsite: 3 days
29,Baskin-Robbins,"Ice cream, frozen yogurt, frozen beverages",#29 Franchise 500,"$94,350 ","$402,200 ",+2.9% +223 UNITS,+6.3% +483 UNITS,1945,1948,"130 Royall St. Canton, MA 02021","First-store franchise fee waived, royalty fee reduced for first 5 years",13,56,worldwide,Training at headquarters: 15 days
30,Papa John's Int'l. Inc.,Pizza,#30 Franchise 500,"$129,910 ","$844,210 ",+5.2% +246 UNITS,+10.1% +476 UNITS,1985,1986,"P.O. Box 99900 Louisville, KY 40299","Franchise fee waived, free set of ovens, reduced royalty for 4 years, $3,000 food purchase credit",10,36,worldwide,Training Onsite: 1 week
31,Auntie Anne's Hand-Rolled Soft Pretzels,Soft pretzels,#31 Franchise 500,"$199,475 ","$380,100 ",+6.2% +101 UNITS,+20.1% +325 UNITS,1988,1989,"48-50 W. Chestnut St., #200 Lancaster, PA 17603","$10,000 off franchise fee",31,102,worldwide,Training Onsite: 4 days
32,Days Inn,Hotels,#32 Franchise 500,"$167,352 ","$7,657,625 ",,,1970,1972,"22 Sylvan Wy. Parsippany, NJ 07054",,5,42,worldwide,Training Onsite: 3-4 days
33,ServiceMaster Clean,"Commercial/residential cleaning, disaster restoration",#33 Franchise 500,"$56,185 ","$265,710 ",+0.8% +42 UNITS,+2.0% +99 UNITS,1947,1952,"3839 Forest Hill Irene Rd. Memphis, TN 38125",15% off franchise fee,17,42,worldwide,Training at headquarters: 10-18 days
34,Dairy Queen,"Ice cream, burgers, chicken",#34 Franchise 500,"$361,450 ","$1,835,825 ",+2.2% +143 UNITS,+4.6% +300 UNITS,1940,1944,"7505 Metro Blvd. Minneapolis, MN 55439-0286",,16,58,worldwide,Training Onsite: 33 days
35,Edible Arrangements Int'l. LLC,Sculpted fresh-fruit bouquets,#35 Franchise 500,"$196,610 ","$327,810 ",+4.5% +54 UNITS,+6.5% +78 UNITS,1999,2000,"95 Barnes Rd. Wallingford, CT 06492","$10,000 off first-store franchise fee",35,180,worldwide,Training Onsite: 1 week
36,Circle K,Convenience stores,#36 Franchise 500,"$211,450 ","$1,601,500 ",+2.1% +179 UNITS,+8.5% +721 UNITS,1951,1995,"1130 W. Warner Rd. Tempe, AZ 85284",10% off franchise fee,9,42,,Training Onsite: 2 days
37,Matco Tools,Mechanics' tools and equipment,#37 Franchise 500,"$89,229 ","$267,810 ",+6.5% +107 UNITS,+12.2% +202 UNITS,1979,1993,"4403 Allen Rd. Stow, OH 44224","$10,000 in inventory",19,47,,Training Onsite: 15 days
38,IHG (InterContinental Hotels Group),Hotels,#38 Franchise 500,"$7,530,521 ","$98,487,600 ",+2.2% +110 UNITS,+6.1% +302 UNITS,1952,1954,"3 Ravinia Dr., #100 Atlanta, GA 30346",,5,54,worldwide,Training Onsite: varies
39,Anago Cleaning Systems,Commercial cleaning,#39 Franchise 500,"$10,518 ","$65,576 ",+4.2% +56 UNITS,+7.7% +102 UNITS,1989,1991,"5203 N.W. 33rd Ave. Fort Lauderdale, FL 33309",10% off franchise fee,39,215,worldwide,Training Onsite: 2 days
40,Kumon Math & Reading Centers,Supplemental education,#40 Franchise 500,"$69,428 ","$140,626 ",,,1954,1958,"300 Frank W. Burr Blvd., #6 Teaneck, NJ 07666",,12,40,worldwide,Training Onsite: ongoing
41,KFC US LLC,Chicken,#41 Franchise 500,"$1,453,800 ","$2,576,000 ",+2.8% +545 UNITS,+6.3% +1222 UNITS,1930,1952,"1441 Gardiner Ln. Louisville, KY 40213",,7,41,worldwide,Training Onsite: as needed
42,Chem-Dry Carpet & Upholstery Cleaning,"Carpet and upholstery cleaning, tile and stone care, granite renewal",#42 Franchise 500,"$31,800 ","$155,534 ",+0.2% +6 UNITS,,1977,1978,"124 12th Ave. S., #300 Nashville, TN 37203",10% off franchise fee,27,63,worldwide,Training at headquarters: 5 days
43,Massage Envy,Therapeutic massage and spa services,#43 Franchise 500,"$411,700 ","$942,850 ",+4.9% +53 UNITS,+14.7% +159 UNITS,2002,2003,"14350 N. 87th St., #200 Scottsdale, AZ 85260","$5,000 off franchise fee",43,149,worldwide,Training Onsite: 10 days
44,Miracle-Ear Inc.,Hearing instruments,#44 Franchise 500,"$119,000 ","$287,500 ",+3.9% +49 UNITS,,1948,1983,"5000 Cheshire Pkwy. N. Plymouth, MN 55446",10% off franchise fee,14,44,throughout the US,Training Onsite: 5 days
45,Liberty Tax Service,"Tax preparation, electronic filing",#45 Franchise 500,"$58,700 ","$71,900 ",,,1972,1973,"1716 Corporate Landing Virginia Beach, VA 23454","20% off franchise fee, special financing",3,45,worldwide,Training at headquarters: 6 days
46,The Maids,Residential cleaning,#46 Franchise 500,"$81,700 ","$197,250 ",+3.9% +47 UNITS,+6.6% +79 UNITS,1979,1981,"9394 W. Dodge Rd., #140 Omaha, NB 68114","$4,000 off franchise fee",37,59,throughout the U.S.,Training Onsite: up to 4 days
47,Budget Blinds Inc.,"Window coverings, window film, rugs, accessories",#47 Franchise 500,"$99,240 ","$202,070 ",+7.4% +75 UNITS,+10.4% +105 UNITS,1992,1994,"1927 N. Glassell St. Orange, CA 92865","$15,000 off franchise and territory fees",29,177,,Training at headquarters: 10 days
48,Merry Maids,Residential cleaning,#48 Franchise 500,"$56,450 ","$180,350 ",+0.7% +11 UNITS,+0.7% +11 UNITS,1979,1980,"3839 Forest Hill Irene Rd. Memphis, TN 38125",15% off franchise fee,38,66,worldwide,Training at headquarters: 10 days
49,CleanNet USA Inc.,Commercial cleaning,#49 Franchise 500,"$17,977 ","$46,525 ",,,1988,1988,"2010 Corporate Ridge, #700 McLean, VA 22102",5-10% off franchise fee,25,137,worldwide,Training Onsite: 3 days
50,Meineke Car Care Centers,Auto repair and maintenance,#50 Franchise 500,"$129,641 ","$576,746 ",,,1972,1972,"440 S. Church St., #700 Charlotte, NC 28202",50% off royalty fee for first six months,50,221,worldwide,Training Onsite: 5 days
51,CruiseOne/Dream Vacations,Travel agencies,#51 Franchise 500,"$3,245 ","$21,850 ",+2.0% +20 UNITS,+6.6% +67 UNITS,1991,1992,"1201 W. Cypress Creek Rd., #100 Fort Lauderdale, FL 33309","20-40% off franchise fee, training fee waived for first veteran/military spouse associate, reduced by 50% for additional veteran/military spouse associates",45,156,,Training at headquarters: 6 days
52,Super 8,Hotels,#52 Franchise 500,"$124,172 ","$3,976,946 ",+1.5% +39 UNITS,+6.6% +167 UNITS,1974,1976,"22 Sylvan Wy. Parsippany, NJ 07054",,17,55,worldwide,Training Onsite: 3-4 days
53,Midas Int'l. Corp.,Auto repair and maintenance,#53 Franchise 500,"$184,130 ","$433,097 ",,,1954,1956,"4300 Professional Center Dr. Palm Beach Gardens, FL 33410",Franchise fee waived,19,61,worldwide,Training Onsite: 5 days
54,Carl's Jr. Restaurants,Burgers,#54 Franchise 500,"$1,375,000 ","$1,952,000 ",+4.0% +60 UNITS,+6.4% +95 UNITS,1945,1984,"6303 Carpinteria Ave. Carpinteria, CA 93013",50% off franchise fee,46,88,worldwide,Training Onsite: 10 weeks
55,Cinnabon,"Cinnamon rolls, baked goods, coffee",#55 Franchise 500,"$181,050 ","$325,500 ",+9.4% +126 UNITS,+17.8% +239 UNITS,1985,1986,"5620 Glenridge Dr. N.E. Atlanta, GA 30342","$5,000 off franchise fee",55,244,worldwide,Training at headquarters: 12 days
56,Motel 6,Economy hotels,#56 Franchise 500,"$2,389,600 ","$3,454,000 ",+7.7% +90 UNITS,+10.7% +126 UNITS,1962,1996,"4001 International Pkwy. Carrollton, TX 75007",,,,,Training Onsite: 1 day
57,Cold Stone Creamery,"Ice cream, sorbet",#57 Franchise 500,"$52,200 ","$467,525 ",,,1988,1994,"9311 E. Via De Ventura Scottsdale, AZ 85258",20% off franchise fee,14,90,worldwide,Training Onsite: 80 hours
58,H&R Block,"Tax preparation, electronic filing",#58 Franchise 500,"$31,505 ","$149,200 ",,,1955,1956,"One H&R Block Wy. Kansas City, MO 64105",,6,58,worldwide,Training Onsite: 20 days
59,Buffalo Wild Wings,"Buffalo wings, sandwiches",#59 Franchise 500,"$1,443,700 ","$3,589,700 ",+6.1% +67 UNITS,+9.4% +103 UNITS,1982,1991,"5500 Wayzata Blvd., #1600 Minneapolis, MN 55416",,59,115,,Additional Training: At certified training restaurant
60,Valvoline Instant Oil Change,Oil changes,#60 Franchise 500,"$162,425 ","$1,956,000 ",+2.6% +24 UNITS,+4.6% +43 UNITS,1986,1988,"3499 Blazer Pkwy. Lexington, KY 40509",,58,62,throughout the US,Training Onsite: 2 weeks
61,Snap Fitness Inc.,24-hour fitness centers,#61 Franchise 500,"$118,805 ","$294,565 ",+1.9% +27 UNITS,+4.5% +65 UNITS,2003,2004,"2411 Galpin Ct., #110 Chanhassen, MN 55317","$5,000 off franchise fee",24,206,worldwide,Training at headquarters: 4 days
62,Firehouse Subs,Subs,#62 Franchise 500,"$124,678 ","$1,263,115 ",+11.0% +99 UNITS,+19.3% +174 UNITS,1994,1995,"3400 Kori Rd. Jacksonville, FL 32257","$2,000 off first-store franchise fee",61,144,worldwide,Training Onsite: 30 days
63,Church's Chicken,Chicken,#63 Franchise 500,"$413,300 ","$1,336,600 ",,,1952,1969,"980 Hammond Dr., #1100 Atlanta, GA 30328",,34,63,worldwide,Training Onsite: 5 weeks
64,Chester's,Chicken,#64 Franchise 500,"$14,351 ","$293,789 ",+5.0% +56 UNITS,+7.3% +82 UNITS,1952,2004,"2020 Cahaba Rd. Birmingham, AL 35223",,64,378,worldwide,Training Onsite: 4.5 days
65,Fantastic Sams Hair Salons,Hair salons,#65 Franchise 500,"$150,362 ","$283,006 ",,,1974,1976,"500 Cummings Center, #1100 Beverly, MA 01915",25% off multi-unit franchise fee,39,142,,Training Onsite: ongoing
66,Jersey Mike's Subs,Subs,#66 Franchise 500,"$177,943 ","$592,852 ",+19.2% +201 UNITS,+31.8% +333 UNITS,1956,1987,"2251 Landmark Pl. Manasquan, NJ 08736",,64,168,throughout the US,Training Onsite: ongoing
67,Minuteman Press Int'l. Inc.,"Printing, graphics, and mailing centers",#67 Franchise 500,"$62,207 ","$161,865 ",+0.4% +4 UNITS,+1.4% +13 UNITS,1973,1975,"61 Executive Blvd. Farmingdale, NY 11735","$10,000 off franchise fee for a new location, $5,000 off for an existing location",53,75,worldwide,Training Onsite: 5-10 days
68,Home Instead Senior Care,Nonmedical senior care,#68 Franchise 500,"$109,260 ","$117,910 ",+2.7% +28 UNITS,+2.7% +28 UNITS,1994,1995,"13323 California St. Omaha, NB 68154",10% off franchise fee,56,89,worldwide,Training Onsite: 2 days
69,Comfort Keepers,Home care,#69 Franchise 500,"$86,310 ","$136,260 ",+1.2% +9 UNITS,+0.4% +3 UNITS,1998,1999,"6640 Poe Ave., #200 Dayton, OH 45414",10% off franchise fee,57,100,worldwide,Training at headquarters: 5 days
70,Express Employment Professionals,"Staffing, HR solutions",#70 Franchise 500,"$120,000 ","$196,000 ",+8.3% +60 UNITS,+12.8% +93 UNITS,1983,1985,"9701 Boardwalk Blvd. Oklahoma City, OK 73162",50% off franchise fee,66,115,worldwide,Training Onsite: 10 days
71,Wingstop Restaurants Inc.,Chicken wings,#71 Franchise 500,"$238,377 ","$922,930 ",+15.4% +121 UNITS,+26.4% +207 UNITS,1994,1998,"5501 LBJ Fwy., 5th Fl. Dallas, TX 75240","$15,000 off first-store franchise fee",70,332,worldwide,Training Onsite: 10 days
72,Mac Tools,Automotive tools and equipment,#72 Franchise 500,"$103,190 ","$255,305 ",+7.4% +60 UNITS,+21.0% +171 UNITS,1938,2011,"505 N. Cleveland Ave. Westerville, OH 43082","$10,000 off startup inventory",72,238,,Training Onsite: 14 days
73,Results! Travel,Travel agency,#73 Franchise 500,$25 ,"$10,400 ",+0.8% +5 UNITS,+0.9% +6 UNITS,2000,2000,"3033 Campus Dr., #W320 Plymouth, MN 55344",,46,347,throughout the U.S.,Training Onsite: Varies
74,Proforma,Printing and promotional products,#74 Franchise 500,"$4,730 ","$50,195 ",,,1978,1985,"8800 E. Pleasant Valley Rd. Cleveland, OH 44131","Franchise fee waived, customized marketing kit",59,134,worldwide,Training at headquarters: 3 days
75,Batteries Plus Bulbs,"Batteries, light bulbs, related products",#75 Franchise 500,"$211,552 ","$406,759 ",+4.8% +32 UNITS,+13.8% +91 UNITS,1988,1992,"1325 Walnut Ridge Dr. Hartland, WI 53029","$10,000 off franchise fee",71,160,throughout the US,Training Onsite: 10 days
76,Signarama,Signs,#76 Franchise 500,"$94,298 ","$272,270 ",+1.3% +10 UNITS,+3.0% +22 UNITS,1986,1987,"2121 Vista Pkwy. West Palm Beach, FL 33411",10-50% off franchise fee,66,178,worldwide,Training Onsite: 15 days
77,Kona Ice,Shaved-ice trucks,#77 Franchise 500,"$117,125 ","$135,925 ",+15.2% +103 UNITS,+30.7% +208 UNITS,2007,2008,"5945 Centennial Cir. Florence, KY 41042",10% off franchise fee,77,112,worldwide,Training at headquarters: 4 days
78,Rent-A-Center,"Rent-to-own furniture, electronics, computers, appliances",#78 Franchise 500,"$355,440 ","$582,190 ",+0.7% +21 UNITS,,1980,2013,"5501 Headquarters Dr. Plano, TX 75024","$5,000 off franchise fee",,,throughout the US,Training Onsite: 10 days
79,Bricks 4 Kidz,"Lego-engineering classes, camps, parties",#79 Franchise 500,"$34,525 ","$52,775 ",+9.8% +66 UNITS,+37.1% +250 UNITS,2008,2009,"701 Market St., #113 St. Augustine, FL 32095",10% off franchise fee,79,200,worldwide,Training Onsite: 1 day
80,Jazzercise Inc.,"Group fitness classes, conventions, apparel and accessories",#80 Franchise 500,"$3,530 ","$12,900 ",+3.7% +326 UNITS,+1.8% +156 UNITS,1969,1982,"2460 Impala Dr. Carlsbad, CA 92010",,13,80,,Training Onsite: 5 weeks
81,Marco's Pizza,"Pizza, subs, wings, cheese bread",#81 Franchise 500,"$224,092 ","$549,092 ",+13.8% +84 UNITS,+37.4% +227 UNITS,1978,1979,"5252 Monroe St., 2nd Fl. Toledo, OH 43623","$5,000 off franchise fee",81,237,worldwide,Training Onsite: 10 days pre-/post-opening
82,Zaxby's Franchising Inc.,"Chicken fingers, Buffalo wings, sandwiches, salads",#82 Franchise 500,"$284,000 ","$664,300 ",+10.6% +74 UNITS,+16.5% +115 UNITS,1990,1994,"1040 Founders Blvd., #100 Athens, GA 30606",,82,271,throughout the US,
83,Moe's Southwest Grill,Southwestern food,#83 Franchise 500,"$368,830 ","$915,700 ",+13.3% +85 UNITS,+20.7% +132 UNITS,2000,2001,"5620 Glenridge Dr. Atlanta, GA 30342","$10,000 off franchise fee",73,123,worldwide,Training Onsite: 4 days
84,Eye Level Learning Centers,Supplemental education,#84 Franchise 500,"$76,088 ","$140,050 ",+7.5% +98 UNITS,+12.6% +166 UNITS,1976,1976,"105 Challenger Rd., 2nd Fl. Ridgefield Park, NJ 07660",50% off franchise fee,68,179,,Training Onsite: 2 days
85,Hilton Garden Inn,Upscale midprice hotels,#85 Franchise 500,"$11,669,500 ","$22,294,085 ",+6.4% +41 UNITS,+9.1% +58 UNITS,1990,1990,"7930 Jones Branch Dr., #1100 McLean, VA 22102",,68,121,worldwide,Training Onsite: varies
86,Weed Man,Lawn care,#86 Franchise 500,"$68,453 ","$85,513 ",+2.8% +16 UNITS,+20.8% +117 UNITS,1970,1976,"1129 Wentworth St., #B3 Oshawa, ON L1J 8P7",25% off franchise fee,86,390,,Training at headquarters: 9 days
87,FastSigns Int'l. Inc.,"Signs, graphics",#87 Franchise 500,"$151,141 ","$293,525 ",+9.2% +56 UNITS,+11.5% +70 UNITS,1985,1986,"2542 Highlander Wy. Carrollton, TX 75006",50% off franchise fee,79,138,in the following regions/states;in the following regions/states;See List,Training at headquarters: 14 days
88,Hungry Howie's Pizza & Subs,"Pizza, subs, calzones, bread, wings, salads",#88 Franchise 500,"$253,075 ","$453,850 ",,+1.3% +7 UNITS,1973,1982,"30300 Stephenson Hwy., #200 Madison Heights, MI 48071",50% off franchise fee,78,102,throughout the US,Training Onsite: 7 days
89,Culver Franchising System Inc.,"Frozen custard, specialty burgers",#89 Franchise 500,"$1,845,000 ","$4,155,000 ",+6.7% +37 UNITS,+11.9% +66 UNITS,1984,1988,"1240 Water St. Prairie du Sac, WI 53578","$10,000 off franchise fee",83,355,in the following regions/states;See List,Training Onsite: 28 days
90,Buildingstars Int'l. Inc.,Commercial cleaning,#90 Franchise 500,"$2,245 ","$53,200 ",+17.0% +109 UNITS,+32.8% +210 UNITS,1994,2000,"33 Worthington Access Dr. Maryland Heights, MO 63043",,90,254,in the following regions/states;See List,Training Onsite: ongoing
91,HomeVestors of America Inc.,"Home buying, repair, and selling",#91 Franchise 500,"$44,000 ","$347,250 ",+10.1% +61 UNITS,+35.0% +212 UNITS,1996,1996,"6500 Greenville Ave., #400 Dallas, TX 75206",10% off franchise fee,91,444,throughout the US,Training Onsite: 8 hours
92,Smoothie King,"Smoothies, health products",#92 Franchise 500,"$188,200 ","$414,050 ",+11.6% +90 UNITS,+15.0% +116 UNITS,1973,1988,"3900 N. Causeway Blvd., #1300 Metairie, LA 70002",20% off franchise fee,67,122,worldwide,Training Onsite: 5 days
93,Orion Food Systems LLC,Fast-food systems for nontraditional markets,#93 Franchise 500,"$58,500 ","$134,000 ",+3.6% +32 UNITS,+1.8% +16 UNITS,1982,1993,"2930 W. Maple, P.O. Box 85210 Sioux Falls, SD 57118",,44,459,in the following regions/states;See List,Training Onsite: 10 days
94,Rita's Italian Ice,"Italian ice, frozen custard",#94 Franchise 500,"$150,500 ","$438,900 ",+7.0% +42 UNITS,+7.5% +45 UNITS,1984,1989,"1210 Northbrook Dr., #310 Trevose, PA 19053",50% off franchise fee,76,156,worldwide,Training Onsite: 4 days
95,Planet Fitness,Fitness clubs,#95 Franchise 500,"$853,390 ","$3,669,150 ",+9.5% +96 UNITS,+26.1% +265 UNITS,1992,2003,"26 Fox Run Rd. Newington, NH 03801",,67,157,internationally,Training Onsite: varies
96,Visiting Angels,Nonmedical home care,#96 Franchise 500,"$66,750 ","$107,500 ",+6.6% +34 UNITS,+10.4% +54 UNITS,1992,1998,"937 Haverford Rd., #200 Bryn Mawr, PA 19010",,82,269,worldwide,Training at headquarters: 5.5 days
97,Molly Maid,Residential cleaning,#97 Franchise 500,"$89,200 ","$137,200 ",+2.3% +15 UNITS,+3.7% +24 UNITS,1979,1979,"3948 Ranchero Dr. Ann Arbor, MI 48108",15% off franchise and territory fees,78,123,,Training Onsite: 5 days
98,Pop-A-Lock Franchise System,Mobile locksmith and security services,#98 Franchise 500,"$99,704 ","$134,263 ",+14.4% +74 UNITS,+24.3% +125 UNITS,1991,1994,"1018 Harding St. Lafayette, LA 70503","10% off franchise fee, special training program",96,469,,Training Onsite: 4 days
99,Bojangles' Restaurants Inc.,"Chicken, biscuits, iced tea",#99 Franchise 500,"$357,733 ","$636,580 ",+6.7% +43 UNITS,+14.1% +91 UNITS,1977,1978,"9432 Southern Pine Blvd. Charlotte, NC 28273",,86,207,internationally,Training Onsite: 10 days
100,Rooter-Man,"Plumbing, drain, and sewer cleaning",#100 Franchise 500,"$46,750 ","$137,600 ",+6.9% +38 UNITS,+9.6% +53 UNITS,1970,1981,"268 Rangeway Rd. North Billerica, MA 01862",,87,230,worldwide,Training Onsite: varies
101,Dickey's Barbecue Pit,Barbecue,#101 Franchise 500,"$280,819 ","$481,819 ",+19.0% +98 UNITS,+41.7% +215 UNITS,1941,1994,"4514 Cole Ave., #1015 Dallas, TX 75205",33% off franchise fee,,,throughout the US,Training Onsite: 10 days
102,Pillar To Post Home Inspectors,Home inspections,#102 Franchise 500,"$33,900 ","$42,300 ",+6.6% +31 UNITS,+17.2% +81 UNITS,1994,1994,"14502 N. Dale Mabry Hwy., #200 Tampa, FL 33618",20% off franchise fee,102,342,,Training Onsite: 25 days
103,Sixt Franchise USA LLC,Auto rentals,#103 Franchise 500,"$1,056,275 ","$10,486,000 ",+2.7% +60 UNITS,+8.3% +182 UNITS,1912,1998,"1850 S.E. 17th St., #207 Fort Lauderdale, FL 33316",,,,worldwide,Training Onsite: 1 week
