2016 Rank,Company,Category Detail,Franchise 500 Rank,Initial Investment,High,Change In Units 1 Yr,Change In Units 3 Yr,Founded,Franchising Since,Corporate Address,Veteran Incentives,Highest Rank,Lowest Rank,Where Seeking Franchisees,Operations
341,LaVida Massage,Massage and spa services,#341 Franchise 500,"$161,750 ","$357,500 ",+6.8% +4 UNITS,+13.6% +8 UNITS,2007,2007,"8550 W. Grand River Ave., #100 Brighton, MI 48116","Up to $5,000 matching on grand-opening advertising",306,341,worldwide,Training Onsite: 3-5 days
342,The Decor Group Inc.,Holiday and event lighting,#342 Franchise 500,"$19,550 ","$62,250 ",+3.2% +8 UNITS,,1984,1996,"2301 Crown Ct. Irving, TX 75038","$1,500 inventory/equipment credit",324,379,throughout the U.S.,Training at headquarters: 5 days
343,Amazing Athletes,Educational sports programs,#343 Franchise 500,"$39,400 ","$52,850 ",+12.5% +11 UNITS,+15.9% +14 UNITS,2002,2006,"1227 Lakeview Dr., #2 Franklin, TN 37067","$5,000 off franchise fee",283,343,worldwide,Training at headquarters: 5 days
344,RSVP Publications,Direct-mail advertising,#344 Franchise 500,"$44,400 ","$176,000 ",,,1985,1998,"6730 W. Linebaugh Ave., #201 Tampa, FL 33625",10% off franchise fee,,,worldwide,Training at headquarters: 5 days
345,Pak Mail,"Packing, shipping, crating, freight, mailboxes, business services",#345 Franchise 500,"$151,500 ","$224,450 ",,,1983,1984,"7580 Metropolitan Dr., #200 San Diego, CA 92108",20% off franchise fee,114,345,worldwide,Training Onsite: 4 days
346,Border Magic/Boulder Designs,"Concrete landscape edging, custom rocks and boulder signage",#346 Franchise 500,"$74,095 ","$159,793 ",,+6.4% +6 UNITS,1987,2003,"2324 N. Robinson Dr. Waco, TX 76706","$2,500 off franchise fee & 25% off royalty fees",261,498,throughout the US,Training at headquarters: 5 days
347,Interior Magic Int'l.,Auto appearance reconditioning,#347 Franchise 500,"$33,050 ","$100,060 ",+4.3% +2 UNITS,+10.6% +5 UNITS,2003,2004,"211 Cotton Grove Rd. Lexington, NC 27292",10% off franchise fee,312,461,throughout the US,Training Onsite: 5 days
348,Sola Salon Studios,Salon suites,#348 Franchise 500,"$413,800 ","$1,134,300 ",+31.5% +86 UNITS,+57.9% +158 UNITS,2004,2005,"50 S. Steele St., #1050 Denver, CO 80209",,,,throughout the US,
349,Howard Johnson,Hotels,#349 Franchise 500,"$162,320 ","$8,731,136 ",,,1925,1954,"22 Sylvan Wy. Parsippany, NJ 07054",,112,349,worldwide,Training Onsite: 3-4 days
350,HuHot Mongolian Grills,Mongolian grill restaurants,#350 Franchise 500,"$782,000 ","$982,000 ",+5.4% +3 UNITS,+12.5% +7 UNITS,1999,2002,"223 E. Main St. Missoula, MT 59802",,303,486,throughout the US,Training Onsite: 14-17 days
351,Apricot Lane,"Women's clothing, accessories, gifts",#351 Franchise 500,"$130,500 ","$404,800 ",,,1991,2004,"3333 Vaca Valley Pkwy., #700 Vacaville, CA 95688",,252,487,throughout the US,Training Onsite: 7 days
352,Wine & Design,Paint-and-sip studios,#352 Franchise 500,"$46,160 ","$95,000 ",+23.3% +14 UNITS,+43.3% +26 UNITS,2010,2010,"1520 Glenwood Ave. Raleigh, NC 27608",10% off franchise fee,,,worldwide,Training at headquarters: 4 days
353,City Wide Maintenance,"Commercial cleaning, building maintenance",#353 Franchise 500,"$103,375 ","$186,300 ",+4.8% +2 UNITS,+16.7% +7 UNITS,1961,2001,"15477 W. 100th Terrace Lenexa, KS 66219",10% off franchise fee for non-broker leads,311,425,throughout the US,Training Onsite: 1 week
354,Precision Concrete Cutting,Uneven-sidewalk repair,#354 Franchise 500,"$150,000 ","$176,500 ",+13.0% +7 UNITS,+11.1% +6 UNITS,1991,2002,"3191 N. Canyon Rd. Provo, UT 84604",,,,internationally,Training Onsite: 5 days
355,Uptown Cheapskate,Young-adult-clothing resale stores,#355 Franchise 500,"$234,500 ","$394,000 ",+10.4% +5 UNITS,+33.3% +16 UNITS,2008,2008,"170 S. 1000 East Salt Lake City, UT 84102",20% off franchise fee,325,355,,Training Onsite: 5 days
356,Young Rembrandts Franchise Inc.,Drawing classes for ages 3 to 12,#356 Franchise 500,"$41,250 ","$48,120 ",,+1.9% +2 UNITS,1988,1997,"23 N. Union St. Elgin, IL 60123",10% off franchise fee,287,492,worldwide,Training at headquarters: 5 days
